mms_spc_num,date_from,date_to,spc_pos_x,spc_pos_y,spc_pos_z,b_msh_x,b_msh_y,b_msh_z,r_rc,method_used,b_imf_x,b_imf_y,b_imf_z,dipole,imf_clock_angle,p_dyn,Date,Probe,jet_detection,x_gsm,y_gsm,z_gsm,r_spc,jet_time,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,ind_jet_center,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean,beta_msp_mean
3,2015-09-07 13:53:32,2015-09-07 14:03:32,3.65,9.58,-5.57,11.979999542236328,12.380000114440918,34.189998626708984,4.366,va_cs,-2.609999895095825,-3.759999990463257,-3.740000009536743,13.106,225.08399963378906,2.8399999141693115,2015-09-07 13:55:54+00:00,3,True,3.674999952316284,9.553999900817871,-5.577000141143799,11.062999725341797,2015-09-07 13:58:32.387494087+00:00,1816,1848,704,736,1788,59.784,6.02,-8.679,39.647,7.15,-8.179,39.691,8.424,39.955,34.663,8.424,39.955,34.663,2.7739999294281006,3.066999912261963,15.394000053405762,16.71500015258789,27.222,-216.057,-0.428,24.879,-200.146,-13.876,-27.416,-199.813,-116.554,-33.262,-157.791,-97.769,24117890.0,4699522.5,24104590.0,4765631.0,29120500.0,4898083.5,28340086.0,4839631.0,1.227,1.613,
3,2015-09-07 13:53:32,2015-09-07 14:03:32,3.65,9.58,-5.57,11.979999542236328,12.380000114440918,34.189998626708984,4.645,bisection,-2.609999895095825,-3.759999990463257,-3.740000009536743,13.106,225.08399963378906,2.8399999141693115,2015-09-07 13:55:54+00:00,3,True,3.674999952316284,9.553999900817871,-5.577000141143799,11.062999725341797,2015-09-07 13:58:32.387494087+00:00,1816,1848,704,736,1788,59.784,6.02,-8.679,39.647,7.15,-8.179,39.691,8.424,39.955,34.663,8.424,39.955,34.663,2.7739999294281006,3.066999912261963,15.394000053405762,16.71500015258789,27.222,-216.057,-0.428,24.879,-200.146,-13.876,-27.416,-199.813,-116.554,-33.262,-157.791,-97.769,24117890.0,4699522.5,24104590.0,4765631.0,29120500.0,4898083.5,28340086.0,4839631.0,1.227,1.613,
3,2015-09-07 13:54:09,2015-09-07 14:04:09,3.65,9.59,-5.57,0.7099999785423279,-27.389999389648438,-19.31999969482422,1.77,shear,-2.7799999713897705,-1.8600000143051147,-4.369999885559082,13.134,203.04800415039062,2.8399999141693115,2015-09-07 14:03:34+00:00,3,True,3.615000009536743,9.621999740600586,-5.572000026702881,11.119000434875488,2015-09-07 13:59:09.212746978+00:00,3373,3405,960,992,234,137.647,6.646,-3.841,27.77,6.738,-4.074,27.573,-13.259,31.26,-24.177,-13.259,31.26,-24.177,1.2489999532699585,1.2400000095367432,21.430999755859375,21.219999313354492,-24.015,68.678,-59.464,-25.076,67.595,-58.531,0.515,-312.789,-208.953,3.883,-318.49,-205.381,54230480.0,3081121.5,54372132.0,3118009.5,62858140.0,3598426.0,62459256.0,3708939.0,1.359,2.958,
3,2015-09-07 13:54:09,2015-09-07 14:04:09,3.65,9.59,-5.57,0.7099999785423279,-27.389999389648438,-19.31999969482422,3.998,rx_en,-2.7799999713897705,-1.8600000143051147,-4.369999885559082,13.134,203.04800415039062,2.8399999141693115,2015-09-07 14:03:34+00:00,3,True,3.615000009536743,9.621999740600586,-5.572000026702881,11.119000434875488,2015-09-07 13:59:09.212746978+00:00,3373,3405,960,992,234,137.647,6.646,-3.841,27.77,6.738,-4.074,27.573,-13.259,31.26,-24.177,-13.259,31.26,-24.177,1.2489999532699585,1.2400000095367432,21.430999755859375,21.219999313354492,-24.015,68.678,-59.464,-25.076,67.595,-58.531,0.515,-312.789,-208.953,3.883,-318.49,-205.381,54230480.0,3081121.5,54372132.0,3118009.5,62858140.0,3598426.0,62459256.0,3708939.0,1.359,2.958,
3,2015-09-07 13:54:09,2015-09-07 14:04:09,3.65,9.59,-5.57,0.7099999785423279,-27.389999389648438,-19.31999969482422,4.742,va_cs,-2.7799999713897705,-1.8600000143051147,-4.369999885559082,13.134,203.04800415039062,2.8399999141693115,2015-09-07 14:03:34+00:00,3,True,3.615000009536743,9.621999740600586,-5.572000026702881,11.119000434875488,2015-09-07 13:59:09.212746978+00:00,3373,3405,960,992,234,137.647,6.646,-3.841,27.77,6.738,-4.074,27.573,-13.259,31.26,-24.177,-13.259,31.26,-24.177,1.2489999532699585,1.2400000095367432,21.430999755859375,21.219999313354492,-24.015,68.678,-59.464,-25.076,67.595,-58.531,0.515,-312.789,-208.953,3.883,-318.49,-205.381,54230480.0,3081121.5,54372132.0,3118009.5,62858140.0,3598426.0,62459256.0,3708939.0,1.359,2.958,
3,2015-09-07 13:54:09,2015-09-07 14:04:09,3.65,9.59,-5.57,0.7099999785423279,-27.389999389648438,-19.31999969482422,4.926,bisection,-2.7799999713897705,-1.8600000143051147,-4.369999885559082,13.134,203.04800415039062,2.8399999141693115,2015-09-07 14:03:34+00:00,3,True,3.615000009536743,9.621999740600586,-5.572000026702881,11.119000434875488,2015-09-07 13:59:09.212746978+00:00,3373,3405,960,992,234,137.647,6.646,-3.841,27.77,6.738,-4.074,27.573,-13.259,31.26,-24.177,-13.259,31.26,-24.177,1.2489999532699585,1.2400000095367432,21.430999755859375,21.219999313354492,-24.015,68.678,-59.464,-25.076,67.595,-58.531,0.515,-312.789,-208.953,3.883,-318.49,-205.381,54230480.0,3081121.5,54372132.0,3118009.5,62858140.0,3598426.0,62459256.0,3708939.0,1.359,2.958,
3,2015-09-09 13:47:55,2015-09-09 13:57:55,3.94,9.48,-5.62,3.869999885559082,19.059999465942383,14.880000114440918,2.731,shear,-1.5099999904632568,-2.8499999046325684,-7.090000152587891,12.205,201.91799926757812,2.809999942779541,2015-09-09 13:51:34+00:00,3,True,3.9509999752044678,9.467000007629395,-5.620999813079834,11.010000228881836,2015-09-09 13:52:55.575419544+00:00,542,574,1888,1920,543,147.414,9.049,-10.935,17.465,9.058,-11.046,17.582,-11.443,-1.584,-30.005,-11.443,-1.584,-30.005,0.7059999704360962,0.7059999704360962,19.51300048828125,19.054000854492188,49.403,22.339,-40.948,43.132,22.034,-39.918,-48.629,-182.478,-85.479,-49.971,-184.001,-88.027,54192124.0,4336563.0,54733744.0,4250685.0,74107368.0,2624410.5,74485368.0,2646839.25,2.442,2.967,
3,2015-09-09 13:47:55,2015-09-09 13:57:55,3.94,9.48,-5.62,3.869999885559082,19.059999465942383,14.880000114440918,4.376,rx_en,-1.5099999904632568,-2.8499999046325684,-7.090000152587891,12.205,201.91799926757812,2.809999942779541,2015-09-09 13:51:34+00:00,3,True,3.9509999752044678,9.467000007629395,-5.620999813079834,11.010000228881836,2015-09-09 13:52:55.575419544+00:00,542,574,1888,1920,543,147.414,9.049,-10.935,17.465,9.058,-11.046,17.582,-11.443,-1.584,-30.005,-11.443,-1.584,-30.005,0.7059999704360962,0.7059999704360962,19.51300048828125,19.054000854492188,49.403,22.339,-40.948,43.132,22.034,-39.918,-48.629,-182.478,-85.479,-49.971,-184.001,-88.027,54192124.0,4336563.0,54733744.0,4250685.0,74107368.0,2624410.5,74485368.0,2646839.25,2.442,2.967,
3,2015-09-09 13:47:55,2015-09-09 13:57:55,3.94,9.48,-5.62,3.869999885559082,19.059999465942383,14.880000114440918,5.061,va_cs,-1.5099999904632568,-2.8499999046325684,-7.090000152587891,12.205,201.91799926757812,2.809999942779541,2015-09-09 13:51:34+00:00,3,True,3.9509999752044678,9.467000007629395,-5.620999813079834,11.010000228881836,2015-09-09 13:52:55.575419544+00:00,542,574,1888,1920,543,147.414,9.049,-10.935,17.465,9.058,-11.046,17.582,-11.443,-1.584,-30.005,-11.443,-1.584,-30.005,0.7059999704360962,0.7059999704360962,19.51300048828125,19.054000854492188,49.403,22.339,-40.948,43.132,22.034,-39.918,-48.629,-182.478,-85.479,-49.971,-184.001,-88.027,54192124.0,4336563.0,54733744.0,4250685.0,74107368.0,2624410.5,74485368.0,2646839.25,2.442,2.967,
3,2015-09-09 13:47:55,2015-09-09 13:57:55,3.94,9.48,-5.62,3.869999885559082,19.059999465942383,14.880000114440918,5.62,bisection,-1.5099999904632568,-2.8499999046325684,-7.090000152587891,12.205,201.91799926757812,2.809999942779541,2015-09-09 13:51:34+00:00,3,True,3.9509999752044678,9.467000007629395,-5.620999813079834,11.010000228881836,2015-09-09 13:52:55.575419544+00:00,542,574,1888,1920,543,147.414,9.049,-10.935,17.465,9.058,-11.046,17.582,-11.443,-1.584,-30.005,-11.443,-1.584,-30.005,0.7059999704360962,0.7059999704360962,19.51300048828125,19.054000854492188,49.403,22.339,-40.948,43.132,22.034,-39.918,-48.629,-182.478,-85.479,-49.971,-184.001,-88.027,54192124.0,4336563.0,54733744.0,4250685.0,74107368.0,2624410.5,74485368.0,2646839.25,2.442,2.967,
