jet_time,crossing_time,added_at,mms_probe,dt,jet_len,rate,level,coord_type,time_clip,tsy_model,recon_models,omni_level,m_p,dr,limits,Date,Probe,jet_detection,x_gsm,y_gsm,z_gsm,r_spc,jet_time,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,ind_jet_center,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean,beta_msp_mean,r_rc_Shear,r_rc_Bisection Field,r_rc_Reconnection Energy,r_rc_Exhaust Velocity,sw_b_imf_gsm_x,sw_b_imf_gsm_y,sw_b_imf_gsm_z,sw_v_imf_gse_x,sw_v_imf_gse_y,sw_v_imf_gse_z,sw_np,sw_tp,sw_sym_h,sw_clock_angle,sw_p_dyn,sw_cone_angle,method_used,r_rc
2015-09-07 17:29:22+0000,2015-09-07 17:30:00+0000,2026-07-16 07:08:09,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-07 17:30:00+0000,3,1,1.844,10.806,-4.584,11.738,2015-09-07 17:29:22+0000,254,286,1782,1814,453,101.7,11.825,-10.833,21.76,11.532,-11.093,21.657,6.428,-38.549,-36.683,6.428,-38.549,-36.683,1.51,1.49,15.96,16.18,-3.1,-61.0,-47.41,-1.71,-61.13,-46.65,13.13,-306.89,-18.54,12.8,-309.45,-16.14,42411200,2313559.0,42905032,2313627.0,55385880,4118776.0,55612456,4116116.0,0.575,3.326,,,,,,,,,,,,,,,,,shear,
2015-09-07 17:56:38+0000,2015-09-07 18:00:00+0000,2026-07-16 07:09:19,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-07 18:00:00+0000,3,1,1.559,10.85,-4.362,11.694,2015-09-07 17:56:38+0000,105,137,1593,1625,160,94.32,13.695,-27.533,13.677,13.868,-27.418,12.917,-5.37,-14.502,-31.915,-5.37,-14.502,-31.915,1.04,1.01,14.15,14.06,-59.01,38.63,-2.43,-60.53,32.41,-3.37,1.31,-302.21,-29.12,1.38,-305.46,-29.86,51728040,4055533.0,52071696,4066910.0,57381212,5399746.0,57273808,5391843.0,1.752,1.669,,,,,,,,,,,,,,,,,shear,
2015-09-08 18:01:57+0000,2015-09-08 18:00:00+0000,2026-07-16 07:50:21,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-08 18:00:00+0000,3,1,1.676,10.8,-4.378,11.654,2015-09-08 18:01:57+0000,1268,1300,2333,2365,2156,28.21,7.846,-6.689,44.972,8.185,-6.895,45.186,-11.052,9.465,54.757,-11.052,9.465,54.757,2.11,2.09,23.35,21.73,19.89,20.37,-6.35,17.52,22.48,-5.82,-45.77,-299.98,-156.21,-58.86,-303.87,-154.87,31283846,1892630.0,31518932,1997713.0,42847056,2684575.0,43084408,2666184.0,0.512,1.206,,,,,,,,,,,,,,,,,shear,
2015-09-08 18:15:50+0000,2015-09-08 18:20:00+0000,2026-07-16 07:51:13,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-08 18:20:00+0000,3,1,1.481,10.805,-4.228,11.603,2015-09-08 18:15:50+0000,2103,2135,1535,1567,309,27.19,10.899,-1.934,36.398,10.919,-1.905,36.395,-0.265,18.002,53.574,-0.265,18.002,53.574,1.11,1.11,14.23,14.43,19.55,-42.1,8.43,17.99,-41.06,6.49,-25.21,-199.53,-60.8,-25.79,-197.42,-63.41,71800992,2779716.0,71633600,2760066.0,94477736,3202801.0,94595256,3205252.0,0.464,2.112,,,,,,,,,,,,,,,,,shear,
2015-09-09 08:43:23+0000,2015-09-09 08:40:00+0000,2026-07-16 08:16:02,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-09 08:40:00+0000,3,1,5.291,5.945,-3.304,6.802,2015-09-09 08:43:23+0000,1228,1260,494,526,1196,40.69,30.828,-45.346,11.903,30.625,-45.558,11.917,21.094,-5.429,8.118,21.094,-5.429,8.118,2.79,2.72,39.68,39.76,15.65,37.75,-52.65,8.1,40.49,-53.89,-78.98,-95.3,-188.9,-79.62,-94.56,-188.81,25097052,4368413.0,25245284,4421253.0,22402180,4602763.0,22412968,4561907.0,14.084,0.729,,,,,,,,,,,,,,,,,shear,
2015-09-09 12:59:14+0000,2015-09-09 13:00:00+0000,2026-07-16 08:23:44,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-09 13:00:00+0000,3,1,4.311,9.013,-5.571,10.596,2015-09-09 12:59:14+0000,127,159,1209,1241,401,149.02,10.849,-10.383,8.506,11.038,-10.489,8.401,-11.965,18.552,-35.877,-11.965,18.552,-35.877,1.06,1.08,16.17,16.02,-28.57,-4.22,-20.75,-26.66,-2.62,-18.17,-0.93,-190.38,-70.55,-1.35,-190.24,-70.29,63916632,1633950.0,63987608,1634866.0,78784040,2645754.0,79005416,2640166.0,0.625,8.682,,,,,,,,,,,,,,,,,shear,
2015-09-09 13:52:55+0000,2015-09-09 13:50:00+0000,2026-07-16 08:25:38,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-09 13:50:00+0000,3,1,3.962,9.454,-5.621,10.999,2015-09-09 13:52:55+0000,542,574,1008,1040,543,134.16,9.049,-10.935,17.465,9.058,-11.046,17.582,-3.366,-3.32,-11.567,-3.366,-3.32,-11.567,0.71,0.71,11.38,11.47,49.4,22.34,-40.95,43.13,22.03,-39.92,-46.59,-159.54,-74.73,-46.05,-157.32,-71.09,54192124,4270996.0,54733744,4362265.0,74107368,4778157.0,74485368,4801812.0,19.133,2.967,,,,,,,,,,,,,,,,,shear,
2015-09-09 14:09:10+0000,2015-09-09 14:10:00+0000,2026-07-16 08:26:42,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-09 14:10:00+0000,3,1,3.813,9.619,-5.606,11.134,2015-09-09 14:09:10+0000,1930,1962,2528,2560,1671,166.19,12.173,-13.411,26.216,12.191,-13.82,26.543,-9.59,6.414,-27.368,-9.59,6.414,-27.368,0.63,0.62,13.97,13.92,80.63,70.3,55.57,85.75,67.28,53.44,-15.2,-184.93,-59.21,-14.69,-183.8,-59.67,65139244,3352344.0,64883828,3415843.0,70068304,3258129.0,70406128,3275302.0,1.816,1.414,,,,,,,,,,,,,,,,,shear,
2015-09-09 16:11:01+0000,2015-09-09 16:10:00+0000,2026-07-16 08:31:23,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-09 16:10:00+0000,3,1,2.819,10.425,-5.153,11.629,2015-09-09 16:11:01+0000,1976,2008,1239,1271,518,25.25,5.02,-3.124,20.442,4.887,-2.829,21.21,5.789,-17.057,25.981,5.789,-17.057,25.981,1.62,1.79,36.09,36.24,58.35,68.66,-22.82,59.88,68.09,-24.4,-28.55,-184.79,-164.6,-28.97,-187.1,-164.88,54022488,2781293.0,51631100,2789217.0,52956944,3329999.0,52720684,3323487.0,3.702,7.124,,,,,,,,,,,,,,,,,shear,
2015-09-11 09:47:01+0000,2015-09-11 09:50:00+0000,2026-07-16 09:42:01,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-11 09:50:00+0000,3,1,5.439,6.979,-4.297,8.196,2015-09-11 09:47:01+0000,860,892,319,351,811,147.53,10.449,-36.271,61.558,10.283,-37.06,61.869,-4.56,-2.019,-89.991,-4.56,-2.019,-89.991,1.15,1.09,24.92,24.88,35.05,-187.59,-30.87,35.32,-186.76,-32.27,-20.82,-268.22,-116.91,-24.54,-259.27,-116.73,60619044,1992577.0,60390660,2010122.0,72569680,4256267.0,72669112,4251023.0,0.295,0.468,,,,,,,,,,,,,,,,,shear,
