jet_time,crossing_time,added_at,mms_probe,dt,jet_len,rate,level,coord_type,time_clip,tsy_model,recon_models,omni_level,m_p,dr,limits,Date,Probe,jet_detection,x_gsm,y_gsm,z_gsm,r_spc,jet_time,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,ind_jet_center,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean,beta_msp_mean,r_rc_Shear,r_rc_Bisection Field,r_rc_Reconnection Energy,r_rc_Exhaust Velocity,sw_b_imf_gsm_x,sw_b_imf_gsm_y,sw_b_imf_gsm_z,sw_v_imf_gse_x,sw_v_imf_gse_y,sw_v_imf_gse_z,sw_np,sw_tp,sw_sym_h,sw_clock_angle,sw_p_dyn,method_used,r_rc
2015-09-09 14:09:10+0000,2015-09-09 14:09:10+0000,2026-07-16 16:45:32,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-09 14:09:10+0000,3,1,3.821,9.611,-5.607,11.127,2015-09-09 14:09:10+0000,2263,2295,124,156,2004,175.99,12.173,-13.411,26.216,12.191,-13.82,26.543,-11.722,15.268,-24.598,-11.722,15.268,-24.598,0.63,0.62,18.09,18.04,80.63,70.3,55.57,85.75,67.28,53.44,-15.35,-101.55,-20.15,-17.16,-101.34,-19.29,65139244,1814246,64883828,1811972,70068304,2501440,70406128,2508087,1.316,1.414,3.61,6.41,4.01,5.811,-1.61,-2.834,-7.226,-409.34,-27.25,7.19,9.078,31804.6,-83.8,201.415,2.94,shear,3.61
2015-09-11 09:47:01+0000,2015-09-11 09:47:01+0000,2026-07-16 16:46:49,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-11 09:47:01+0000,3,1,5.445,6.941,-4.263,8.146,2015-09-11 09:47:01+0000,2053,2085,1143,1175,2004,150.41,10.449,-36.271,61.558,10.283,-37.06,61.869,-18.611,1.742,-76.14,-18.611,1.742,-76.14,1.15,1.09,22.64,22.8,35.05,-187.59,-30.87,35.32,-186.76,-32.27,-29.22,-249.75,-115.26,-30.19,-246.81,-115.57,60619044,2121553,60390660,2124282,72569680,4446761,72669112,4461217,0.373,0.468,10.679,9.386,12.148,16.363,-6.706,7.792,2.736,-576.52,33.44,-56.27,12.36,385427.312,-62.9,70.656,8.0,shear,10.679
2015-09-11 10:12:59+0000,2015-09-11 10:12:59+0000,2026-07-16 16:47:43,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-11 10:12:59+0000,3,1,5.378,7.259,-4.547,8.566,2015-09-11 10:12:59+0000,172,204,1404,1436,302,163.61,15.32,-18.375,48.974,15.286,-19.734,48.652,-5.85,9.939,-59.796,-5.85,9.939,-59.796,0.97,0.97,27.32,27.96,19.67,8.28,4.97,20.0,17.3,3.47,-35.79,-334.8,-162.13,-38.24,-340.82,-158.33,75721520,3131050,75728904,3155109,78698168,5535886,78611488,5689582,1.164,0.868,9.59,11.087,12.479,15.33,-4.056,6.577,4.514,-600.26,26.54,-56.12,10.564,387570.906,-60.9,55.537,7.4,shear,9.59
2015-09-11 11:52:50+0000,2015-09-11 11:52:50+0000,2026-07-16 16:48:40,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-11 11:52:50+0000,3,1,4.959,8.33,-5.35,9.9,2015-09-11 11:52:50+0000,1102,1134,444,476,844,42.7,7.582,-17.553,48.788,7.91,-18.093,51.707,6.361,-38.234,19.941,6.361,-38.234,19.941,1.65,1.72,15.08,14.97,18.33,-113.84,-62.55,22.01,-109.95,-59.87,2.38,-273.62,-315.69,-2.92,-273.2,-320.97,24430458,5857037,25576940,6017472,31096386,6860891,33704384,6897354,1.745,0.616,5.409,6.35,6.35,6.102,-2.823,2.39,-5.737,-628.43,-34.13,-3.2,5.208,299696.5,-51.8,157.384,3.97,shear,5.409
2015-09-11 15:09:17+0000,2015-09-11 15:09:17+0000,2026-07-16 16:50:39,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-11 15:09:17+0000,3,1,3.591,9.985,-5.478,11.389,2015-09-11 15:09:17+0000,329,361,634,666,355,127.87,21.319,-8.942,29.728,21.464,-9.143,29.723,-1.636,-13.548,-25.675,-1.636,-13.548,-25.675,0.88,1.06,22.49,22.35,-56.4,-311.64,-114.22,-61.09,-293.01,-119.46,-0.04,-306.81,-143.49,1.31,-304.94,-143.75,36552336,4632895,37334864,4658353,49382332,4300072,51441168,4289304,4.163,1.091,14.982,12.52,13.35,14.982,-3.784,0.62,4.107,-622.74,29.62,-15.58,6.526,297549.812,-86.6,8.585,4.88,shear,14.982
2015-09-11 15:23:41+0000,2015-09-11 15:23:41+0000,2026-07-16 16:51:39,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-11 15:23:41+0000,3,1,3.469,10.078,-5.418,11.442,2015-09-11 15:23:41+0000,623,655,122,154,980,135.31,20.107,-10.381,19.144,20.226,-10.34,18.987,-16.706,-0.836,-1.253,-16.706,-0.836,-1.253,0.89,0.88,28.81,27.64,9.75,72.53,-0.4,12.03,75.02,-1.59,-157.49,-301.34,-120.7,-156.85,-300.86,-121.21,54083424,4164417,54156804,4444687,56557396,3766006,56498556,3968209,14.304,1.913,12.8,5.454,8.17,13.939,-5.719,-0.835,-0.46,-613.09,41.48,17.68,6.294,225417.5,-88.4,241.15,4.58,shear,12.8
2015-09-11 16:18:27+0000,2015-09-11 16:18:27+0000,2026-07-16 16:52:54,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-11 16:18:27+0000,3,1,2.987,10.377,-5.124,11.573,2015-09-11 16:18:27+0000,1523,1555,854,886,2000,159.38,10.73,-7.363,13.828,10.562,-7.339,13.86,-4.801,10.406,-12.243,-4.801,10.406,-12.243,0.78,0.78,22.55,21.22,29.11,-63.22,17.71,27.53,-60.76,17.01,-33.86,-292.38,-123.95,-36.02,-292.95,-121.69,51543744,3807272,52118012,3767645,56805924,4946818,58294796,4887626,6.96,4.048,6.615,5.452,5.782,5.452,-1.786,1.26,-1.881,-641.6,35.58,31.9,6.637,271028.25,-69.2,146.187,5.28,shear,6.615
2015-09-02 16:47:33+0000,2015-09-02 16:45:00+0000,2026-07-16 16:11:08,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-02 16:45:00+0000,3,1,1.649,10.848,-4.78,11.854,2015-09-02 16:47:33+0000,407,439,3003,3035,2464,23.68,3.302,-1.018,28.416,3.422,-1.106,28.448,4.77,-16.203,33.092,4.77,-16.203,33.092,4.29,4.27,27.94,27.52,63.77,90.98,16.28,63.48,90.82,16.94,8.18,-286.06,-150.44,8.4,-284.61,-153.24,19652722,2680838,19664522,2739270,21195928,2798625,21182176,2832354,1.945,3.647,11.857,10.627,11.192,13.887,-1.484,3.42,0.825,-389.32,-18.61,7.15,17.082,18376.727,3.545,76.431,4.99,rx_en,11.192
2015-09-04 12:10:49+0000,2015-09-04 12:10:49+0000,2026-07-16 16:37:07,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-04 12:10:49+0000,3,1,4.028,8.59,-5.229,10.056,2015-09-04 12:10:49+0000,761,793,517,549,502,45.93,11.345,-12.326,19.856,11.354,-12.768,19.792,9.673,7.712,25.323,9.673,7.712,25.323,1.05,1.05,13.95,14.2,0.34,62.05,-102.59,-5.2,61.73,-103.35,-37.38,-260.61,-239.55,-44.99,-262.12,-236.02,75588368,8703994,75840688,8605988,91490624,7127696,90825368,7097793,4.876,4.365,9.867,12.646,12.495,12.16,-1.566,11.527,2.135,-457.06,-9.72,-47.34,8.638,168183.203,-19.4,79.507,3.51,rx_en,12.495
2015-09-07 13:51:35+0000,2015-09-07 13:51:35+0000,2026-07-16 16:37:53,3,300,3,brst,l2,lmn,True,t96,"['shear', 'bisection', 'reconnection energy', 'exhaust velocity']",hro_1min,1.0,0.5,20.0,2015-09-07 13:51:35+0000,3,1,3.705,9.52,-5.579,11.034,2015-09-07 13:51:35+0000,466,498,1371,1403,940,49.91,5.974,-0.432,48.716,6.084,-1.147,48.684,8.424,39.955,34.663,8.424,39.955,34.663,4.45,4.4,15.39,16.72,-13.11,-4.03,-109.95,-13.5,-1.82,-109.25,-27.42,-199.81,-116.55,-33.26,-157.79,-97.77,13693602,4699522,13638266,4765631,13328718,4898083,13442106,4839631,1.227,0.86,1.868,1.508,2.589,4.238,-1.54,-9.312,-0.743,-528.9,34.5,-0.8,6.02,226168.0,-19.7,265.441,3.25,rx_en,2.589
