mms_spc_num,date_from,date_to,spc_pos_x,spc_pos_y,spc_pos_z,b_msh_x,b_msh_y,b_msh_z,b_imf_x,b_imf_y,b_imf_z,dipole,imf_clock_angle,p_dyn,Date,Probe,jet_detection,x_gsm,y_gsm,z_gsm,r_spc,jet_time,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,ind_jet_center,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean,beta_msp_mean,r_rc_Shear,r_rc_Bisection Field,r_rc_Reconnection Energy,r_rc_Exhaust Velocity
3.0,2015-09-09 13:45:00,2015-09-09 13:55:00,3.96,9.45,-5.62,-4.03,24.06,16.81,-1.34,-2.69,-7.2,12.132,200.495,2.69,2015-09-09 13:50:00+00:00,3.0,1.0,3.962,9.454,-5.621,10.999,2015-09-09 13:52:55.575419544+00:00,542.0,574.0,1008.0,1040.0,543.0,134.155,9.049,-10.935,17.465,9.058,-11.046,17.582,-3.366,-3.32,-11.567,-3.366,-3.32,-11.567,0.706,0.706,11.38,11.473,49.403,22.339,-40.948,43.132,22.034,-39.918,-46.59,-159.537,-74.732,-46.053,-157.318,-71.093,54192124.0,4270996.5,54733744.0,4362265.5,74107368.0,4778157.5,74485368.0,4801812.0,19.133,2.967,3.62,6.22,4.279,5.82,
3.0,2015-09-09 14:05:00,2015-09-09 14:15:00,3.81,9.62,-5.6,2.83,23.97,14.91,-1.61,-2.85,-7.23,12.698,201.504,2.94,2015-09-09 14:10:00+00:00,3.0,1.0,3.813,9.619,-5.606,11.134,2015-09-09 14:09:10.657074093+00:00,1930.0,1962.0,2528.0,2560.0,1671.0,166.191,12.173,-13.411,26.216,12.191,-13.82,26.543,-9.59,6.414,-27.368,-9.59,6.414,-27.368,0.628,0.62,13.965,13.916,80.63,70.299,55.568,85.752,67.282,53.444,-15.198,-184.931,-59.212,-14.694,-183.799,-59.669,65139244.0,3352344.5,64883828.0,3415843.0,70068304.0,3258129.25,70406128.0,3275302.75,1.816,1.414,3.6,6.4,4.006,5.801,
3.0,2015-09-09 16:05:00,2015-09-09 16:15:00,2.82,10.43,-5.15,-12.85,47.12,4.63,3.09,2.65,0.27,14.778,84.105,2.11,2015-09-09 16:10:00+00:00,3.0,1.0,2.819,10.425,-5.153,11.629,2015-09-09 16:11:01.633329034+00:00,1976.0,2008.0,1239.0,1271.0,518.0,25.248,5.02,-3.124,20.442,4.887,-2.829,21.21,5.789,-17.057,25.981,5.789,-17.057,25.981,1.624,1.788,36.093,36.245,58.354,68.663,-22.82,59.879,68.086,-24.4,-28.551,-184.795,-164.605,-28.971,-187.101,-164.881,54022488.0,2781293.5,51631100.0,2789217.75,52956944.0,3329999.75,52720684.0,3323487.25,3.702,7.124,7.06,6.427,9.265,3.644,
3.0,2015-09-11 09:45:00,2015-09-11 09:55:00,5.44,6.98,-4.3,-25.37,32.74,-3.38,-6.84,7.35,1.26,2.17,80.275,7.66,2015-09-11 09:50:00+00:00,3.0,1.0,5.439,6.979,-4.297,8.196,2015-09-11 09:47:01.733442068+00:00,860.0,892.0,319.0,351.0,811.0,147.535,10.449,-36.271,61.558,10.283,-37.06,61.869,-4.56,-2.019,-89.991,-4.56,-2.019,-89.991,1.149,1.091,24.917,24.876,35.048,-187.59,-30.867,35.316,-186.757,-32.269,-20.824,-268.224,-116.91,-24.536,-259.274,-116.733,60619044.0,1992577.375,60390660.0,2010122.625,72569680.0,4256267.0,72669112.0,4251023.5,0.295,0.468,10.806,5.869,12.17,16.391,
3.0,2015-09-11 10:05:00,2015-09-11 10:15:00,5.39,7.22,-4.51,13.47,24.13,33.47,-4.01,3.81,0.81,2.983,78.029,7.02,2015-09-11 10:10:00+00:00,3.0,1.0,5.387,7.224,-4.516,8.519,2015-09-11 10:12:59.343869447+00:00,598.0,630.0,1339.0,1371.0,834.0,159.126,16.112,-12.642,44.139,16.288,-13.187,43.981,-7.219,-0.307,-61.128,-7.219,-0.307,-61.128,1.848,1.82,20.481,21.755,-24.035,-108.989,-198.227,-29.18,-109.22,-201.045,-46.163,-352.884,-131.833,-46.945,-354.74,-131.493,43345996.0,3360456.0,44331892.0,3320172.0,49752120.0,4919625.0,52260048.0,5054888.0,0.891,1.253,11.043,5.254,12.091,16.245,
3.0,2015-09-11 11:45:00,2015-09-11 11:55:00,4.97,8.3,-5.33,-26.01,23.07,-8.58,-3.22,1.66,-5.82,7.112,164.123,3.83,2015-09-11 11:50:00+00:00,3.0,1.0,4.972,8.305,-5.335,9.871,2015-09-11 11:52:50.609575510+00:00,400.0,432.0,1337.0,1369.0,1737.0,43.283,9.524,-16.018,54.234,9.644,-18.103,53.725,6.361,-38.234,19.941,6.361,-38.234,19.941,1.503,1.68,15.082,14.969,23.425,-216.53,-114.104,28.221,-242.07,-122.0,2.382,-273.624,-315.692,-2.918,-273.199,-320.968,22931680.0,5857037.0,22373946.0,6017472.5,40028764.0,6860891.5,37815268.0,6897354.0,1.745,0.488,5.187,6.33,5.443,5.599,
3.0,2015-09-11 11:55:00,2015-09-11 12:05:00,4.92,8.4,-5.39,-25.68,2.01,-38.03,-3.81,0.41,-3.85,7.513,173.893,4.31,2015-09-11 12:00:00+00:00,3.0,1.0,4.918,8.404,-5.39,9.984,2015-09-11 11:55:20.460613012+00:00,132.0,164.0,204.0,236.0,136.0,59.554,3.139,-15.632,47.281,2.709,-16.878,47.129,3.077,-26.431,4.946,3.077,-26.431,4.946,0.975,1.029,13.705,13.785,17.186,-192.203,-102.554,14.756,-193.665,-92.791,-20.269,-258.367,-279.912,-22.067,-256.128,-277.522,47509992.0,7800497.5,47321136.0,7988799.0,63364164.0,7109735.0,62019120.0,7092454.5,5.371,0.749,5.339,5.904,4.596,4.933,
3.0,2015-09-11 15:05:00,2015-09-11 15:15:00,3.59,9.99,-5.47,-15.56,4.75,-21.25,-3.9,0.62,3.72,13.297,9.451,4.91,2015-09-11 15:10:00+00:00,3.0,1.0,3.583,9.991,-5.475,11.393,2015-09-11 15:09:17.318080425+00:00,329.0,361.0,634.0,666.0,355.0,127.866,21.319,-8.942,29.728,21.464,-9.143,29.723,-1.636,-13.548,-25.675,-1.636,-13.548,-25.675,0.884,1.061,22.489,22.354,-56.396,-311.641,-114.216,-61.086,-293.015,-119.458,-0.044,-306.815,-143.493,1.306,-304.941,-143.753,36552336.0,4632895.0,37334864.0,4658353.0,49382332.0,4300072.0,51441168.0,4289304.0,4.163,1.091,14.974,12.325,13.261,14.974,
3.0,2015-09-11 15:15:00,2015-09-11 15:25:00,3.5,10.06,-5.43,-6.14,-14.24,-17.1,-5.5,-0.37,0.02,13.463,273.62,4.61,2015-09-11 15:20:00+00:00,3.0,1.0,3.499,10.056,-5.433,11.43,2015-09-11 15:23:41.099381447+00:00,623.0,655.0,122.0,154.0,980.0,135.31,20.107,-10.381,19.144,20.226,-10.34,18.987,-16.706,-0.836,-1.253,-16.706,-0.836,-1.253,0.89,0.882,28.805,27.635,9.747,72.532,-0.401,12.029,75.02,-1.591,-157.488,-301.339,-120.704,-156.847,-300.857,-121.213,54083424.0,4164417.75,54156804.0,4444687.5,56557396.0,3766006.0,56498556.0,3968209.75,14.304,1.913,14.898,4.944,12.076,14.64,
3.0,2015-09-11 16:15:00,2015-09-11 16:25:00,2.98,10.38,-5.11,19.77,-29.52,-9.28,-1.23,1.6,-1.14,14.082,125.421,5.28,2015-09-11 16:20:00+00:00,3.0,1.0,2.973,10.384,-5.114,11.575,2015-09-11 16:18:27.173752069+00:00,903.0,935.0,273.0,305.0,1380.0,155.915,10.73,-7.363,13.828,10.562,-7.339,13.86,-12.738,25.949,-21.197,-12.738,25.949,-21.197,0.781,0.776,18.979,19.019,29.11,-63.224,17.706,27.534,-60.759,17.008,-23.292,-259.024,-119.536,-22.159,-255.952,-123.609,51543744.0,3210969.25,52118012.0,3184042.75,56805924.0,4530881.0,58294796.0,4572825.5,1.905,4.048,8.187,5.576,6.186,6.311,
