mms_spc_num,date_from,date_to,spc_pos_x,spc_pos_y,spc_pos_z,b_msh_x,b_msh_y,b_msh_z,b_imf_x,b_imf_y,b_imf_z,dipole,imf_clock_angle,p_dyn,Date,Probe,jet_detection,x_gsm,y_gsm,z_gsm,r_spc,jet_time,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,ind_jet_center,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean,beta_msp_mean,r_rc_Shear,r_rc_Bisection Field,r_rc_Reconnection Energy,r_rc_Exhaust Velocity
3.0,2015-09-02 16:40:00,2015-09-02 16:50:00,1.65,10.85,-4.78,12.12,12.74,33.32,-1.48,3.42,0.83,17.503,76.431,4.99,2015-09-02 16:45:00+00:00,3.0,1.0,1.649,10.848,-4.78,11.854,2015-09-02 16:47:33.709315896+00:00,407.0,439.0,3003.0,3035.0,2464.0,23.681,3.302,-1.018,28.416,3.422,-1.106,28.448,4.77,-16.203,33.092,4.77,-16.203,33.092,4.286,4.269,27.943,27.517,63.765,90.978,16.278,63.483,90.822,16.944,8.184,-286.063,-150.435,8.404,-284.613,-153.243,19652722.0,2680838.75,19664522.0,2739270.5,21195928.0,2798625.0,21182176.0,2832354.25,1.945,3.647,11.857,10.627,11.192,13.887,
3.0,2015-09-02 17:00:00,2015-09-02 17:10:00,1.47,10.93,-4.64,10.46,10.2,34.08,-3.46,2.18,-1.74,17.48,128.68,5.14,2015-09-02 17:05:00+00:00,3.0,1.0,1.469,10.928,-4.644,11.874,2015-09-02 17:05:05.216631531+00:00,1760.0,1792.0,1286.0,1318.0,2034.0,59.495,2.807,2.071,37.6,2.918,1.529,37.148,3.061,-22.744,14.541,3.061,-22.744,14.541,4.061,4.102,45.666,45.474,15.543,23.827,-6.727,26.181,22.716,-5.657,19.113,-230.3,-83.732,18.612,-228.6,-84.454,18925264.0,1826222.125,18385034.0,1835276.125,24194586.0,2033815.625,23933822.0,2064745.5,4.07,2.02,7.8,6.132,6.078,12.34,
3.0,2015-09-02 17:20:00,2015-09-02 17:30:00,1.29,10.99,-4.5,-12.75,-1.48,-17.05,-3.02,-0.87,-3.52,17.381,193.848,5.15,2015-09-02 17:25:00+00:00,3.0,1.0,1.286,10.993,-4.502,11.879,2015-09-02 17:27:10.625845432+00:00,2582.0,2614.0,1485.0,1517.0,2870.0,47.373,4.325,-2.47,40.493,4.607,-2.364,40.196,2.291,-12.045,9.707,2.291,-12.045,9.707,1.788,1.769,39.667,37.219,13.312,-30.117,-34.572,3.254,-34.007,-35.557,33.726,-271.176,-84.715,35.776,-272.481,-74.84,41804908.0,2955985.75,41915344.0,3026297.25,46631136.0,2804347.0,47148024.0,2818939.5,13.048,1.61,1.763,5.319,4.116,5.319,
