Date,Probe,jet_detection,x_gsm,y_gsm,z_gsm,r_spc,jet_time,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,ind_jet_center,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean,beta_msp_mean
2015-09-02 16:41:24+00:00,3,True,1.684999942779541,10.829999923706055,-4.806000232696533,11.847999572753906,2015-09-02 16:45:12.408331394+00:00,407,439,1810,1842,1522,17.969,3.302,-1.018,28.416,3.422,-1.106,28.448,8.708,-10.426,30.987,8.708,-10.426,30.987,4.285999774932861,4.269000053405762,31.222999572753906,30.55299949645996,63.765,90.978,16.278,63.483,90.822,16.944,-14.44,-282.555,-121.614,-12.365,-280.861,-120.807,19652722.0,3049790.0,19664522.0,3135168.0,21195928.0,2973334.25,21182176.0,3024891.5,3.115,3.647,
2015-09-02 16:48:44+00:00,3,True,1.6180000305175781,10.86299991607666,-4.756999969482422,11.859000205993652,2015-09-02 16:47:33.709315896+00:00,174,206,3403,3435,1531,56.94,3.186,-2.779,29.899,3.052,-2.781,29.788,-0.761,-20.132,10.783,-0.761,-20.132,10.783,4.038000106811523,4.025000095367432,53.99700164794922,53.887001037597656,-0.649,-33.199,24.72,-0.919,-31.511,23.473,14.256,-244.243,-101.7,14.608,-244.162,-101.686,22845356.0,1627524.25,22679148.0,1633153.25,25769296.0,1843327.375,25895974.0,1843159.25,6.252,3.638,
2015-09-02 17:02:04+00:00,3,True,1.496000051498413,10.916999816894531,-4.664999961853027,11.871999740600586,2015-09-02 17:05:05.216631531+00:00,430,462,2460,2492,3208,73.114,2.325,10.591,38.245,2.529,10.983,38.329,3.061,-22.744,14.541,3.061,-22.744,14.541,3.255000114440918,3.309000015258789,45.66600036621094,45.4739990234375,36.072,-110.382,-25.731,37.515,-109.794,-25.678,19.113,-230.3,-83.732,18.612,-228.6,-84.454,23948272.0,1826222.125,23656716.0,1835276.125,29775006.0,2033815.625,29664688.0,2064745.5,4.07,1.864,
