Date,Probe,jet_detection,x_gsm,y_gsm,z_gsm,r_spc,jet_time,ind_min_msp,ind_max_msp,ind_min_msh,ind_max_msh,ind_jet_center,angle_b_lmn_vec_msp_msh_median,b_lmn_vec_msp_mean_n,b_lmn_vec_msp_mean_m,b_lmn_vec_msp_mean_l,b_lmn_vec_msp_median_n,b_lmn_vec_msp_median_m,b_lmn_vec_msp_median_l,b_lmn_vec_msh_mean_n,b_lmn_vec_msh_mean_m,b_lmn_vec_msh_mean_l,b_lmn_vec_msh_median_n,b_lmn_vec_msh_median_m,b_lmn_vec_msh_median_l,np_msp_median,np_msp_mean,np_msh_median,np_msh_mean,vp_lmn_vec_msp_mean_n,vp_lmn_vec_msp_mean_m,vp_lmn_vec_msp_mean_l,vp_lmn_vec_msp_median_n,vp_lmn_vec_msp_median_m,vp_lmn_vec_msp_median_l,vp_lmn_vec_msh_mean_n,vp_lmn_vec_msh_mean_m,vp_lmn_vec_msh_mean_l,vp_lmn_vec_msh_median_n,vp_lmn_vec_msh_median_m,vp_lmn_vec_msh_median_l,tp_para_msp_median,tp_para_msh_median,tp_para_msp_mean,tp_para_msh_mean,tp_perp_msp_median,tp_perp_msh_median,tp_perp_msp_mean,tp_perp_msh_mean,beta_msh_mean,beta_msp_mean
2015-09-02 16:50:33+00:00,3,True,1.6,10.871,-4.743,11.861,2015-09-02 16:47:34.609323008+00:00,2030,2062,3014,3046,810,42.036,14.021,7.962,36.48,14.216,7.639,36.212,-2.734,21.422,21.112,-2.734,21.422,21.112,2.95,3.134,42.31,41.741,-85.924,54.428,-63.754,-83.596,46.473,-63.823,-194.289,111.248,-109.999,-199.956,112.322,-109.232,20783142.0,1745929.0,21337354.0,1762359.625,24590340.0,2178323.0,24606374.0,2220517.5,3.019,1.533,
2015-09-02 17:02:04.106000+00:00,3,True,1.496,10.917,-4.665,11.872,2015-09-02 17:05:05.591631488+00:00,429,461,2459,2491,3209,73.062,17.117,7.136,35.162,17.301,7.147,35.131,-15.866,19.221,13.216,-15.866,19.221,13.216,3.255,3.309,45.666,45.474,-79.529,80.569,-36.486,-80.61,76.784,-36.859,-200.168,114.363,-85.256,-197.477,113.931,-85.658,23948272.0,1826222.125,23656716.0,1835276.125,29775006.0,2033815.625,29664688.0,2064745.5,4.07,1.864,
2015-09-02 17:18:44.169000+00:00,3,True,1.346,10.974,-4.549,11.879,2015-09-02 17:14:01.995363584+00:00,2948,2980,910,942,119,56.861,12.123,10.228,42.693,11.719,9.927,42.727,-17.569,33.413,22.621,-17.569,33.413,22.621,2.627,2.609,25.254,25.321,-67.999,65.066,-16.52,-69.22,65.498,-15.898,-217.658,118.878,-100.035,-216.675,119.2,-101.57,23648512.0,2350830.5,23786594.0,2406544.25,27378082.0,2787829.5,27824444.0,2792447.25,1.109,1.097,
2015-09-02 17:25:24.224000+00:00,3,True,1.282,10.994,-4.498,11.879,2015-09-02 17:27:10.625845504+00:00,2421,2453,1324,1356,2709,43.746,7.008,16.098,36.827,6.947,15.88,36.071,-7.367,9.671,9.554,-7.367,9.671,9.554,1.788,1.769,39.667,37.219,-25.008,16.825,-37.027,-35.623,11.927,-31.669,-229.34,144.756,-91.101,-226.894,148.079,-82.156,41804908.0,2955985.75,41915344.0,3026297.25,46631136.0,2804347.0,47148024.0,2818939.5,13.049,1.61,
2015-09-02 17:30:54.078000+00:00,3,True,1.231,11.009,-4.458,11.877,2015-09-02 17:34:00.578695552+00:00,3770,3802,1392,1424,3243,145.694,9.92,6.486,27.197,9.933,6.455,27.176,-9.222,5.107,-12.751,-9.222,5.107,-12.751,1.632,1.627,47.478,47.133,4.556,19.653,-47.997,2.626,20.761,-49.525,-204.753,120.773,-49.466,-204.653,120.666,-48.353,56096192.0,1987634.25,55651108.0,1966522.875,65574820.0,2191865.75,65324304.0,2188819.5,9.742,3.775,
